numero_station,date_heure,co,no,no2,pm2_5,pst,pm10,o3,so2,bc1_370nm,bc6_880nm,Benzene,Toluene,Ethylbenzene,M P-Xylene,O-Xylene
3,2020-01-02 15:00,N/M,2.282943,10.55793,9.620833,N/M,N/M,21.55451,0.638036,N/M,N/M,0.5,0.944458,0.117679,0.441026,0.130361
3,2020-01-02 16:00,N/M,1.897565,9.975822,8.544066,N/M,N/M,21.90326,0.714232,N/M,N/M,0.4875,0.717707,0.102319,0.380387,0.124637
3,2020-01-02 17:00,N/M,0.119543,7.491014,7.517881,N/M,N/M,24.85276,0.330581,N/M,N/M,0.462861,0.699069,0.0925,0.408374,0.110361
3,2020-01-02 18:00,N/M,0.878167,11.38326,7.741965,N/M,N/M,20.81906,0.504981,N/M,N/M,0.6055556,0.688,0.0837778,0.3828889,0.0968889
3,2020-01-02 19:00,N/M,0.466374,12.56793,8.492432,N/M,N/M,19.35767,0.766692,N/M,N/M,0.501083,0.677318,0.081776,0.329457,0.112319
3,2020-01-02 20:00,N/M,0,6.972414,8.2367,N/M,N/M,24.22515,0.374172,N/M,N/M,0.512498,0.713401,0.093041,0.422138,0.10768
3,2020-01-02 21:00,N/M,0,6.848848,7.954732,N/M,N/M,23.95612,0.256711,N/M,N/M,0.465512,0.681208,0.089458,0.291083,0.08268
3,2020-01-02 22:00,N/M,2.237082,16.92407,8.782265,N/M,N/M,14.61915,0.254307,N/M,N/M,0.538402,0.651832,0.083402,0.272318,0.085179
3,2020-01-02 23:00,N/M,2.209268,13.26911,8.263833,N/M,N/M,17.63434,0.282364,N/M,N/M,0.510179,0.713887,0.091958,0.2975,0.099458
3,2020-01-02 00:00,N/M,0,9.919762,7.0787,N/M,N/M,19.80679,0.274399,N/M,N/M,0.526986,0.762346,0.109999,0.323583,0.112861
3,2020-01-03 01:00,N/M,2.019797,17.52334,8.32243,N/M,N/M,12.90084,0.315467,N/M,N/M,0.493555,0.718915,0.095179,0.308012,0.099638
3,2020-01-03 02:00,N/M,3.150043,29.22872,8.166732,N/M,N/M,3.63584,0.421826,N/M,N/M,0.639069,0.948291,0.153555,1.610929,0.166054
3,2020-01-03 03:00,N/M,2.225934,29.46123,6.535698,N/M,N/M,5.264181,0.493324,N/M,N/M,0.690235,1.273249,0.194736,1.9965,0.223819
3,2020-01-03 04:00,N/M,0.559231,21.69149,5.661832,N/M,N/M,12.87284,0.628354,N/M,N/M,0.691929,1.062373,0.160722,1.880833,0.164665
3,2020-01-03 05:00,N/M,0.608398,13.83416,4.285099,N/M,N/M,19.43162,0.702494,N/M,N/M,0.563763,0.85804,0.126236,3.070708,0.152832
3,2020-01-03 06:00,N/M,1.008296,17.03879,5.337333,N/M,N/M,16.09002,0.72146,N/M,N/M,0.873583,1.136263,0.227165,10.1504,0.282707
3,2020-01-03 07:00,N/M,1.645053,20.52717,6.202733,N/M,N/M,12.73391,0.816564,N/M,N/M,0.707166,0.937527,0.1,3.304666,0.122318
3,2020-01-03 08:00,N/M,2.083611,24.815,6.249566,N/M,N/M,9.219483,0.736227,N/M,N/M,0.788707,1.21711,0.181777,1.906957,0.199276
3,2020-01-03 09:00,N/M,51.96325,36.234,11.97878,N/M,N/M,2.293543,0.973622,N/M,N/M,0.864526,1.61529,0.201388,1.69829,0.241651
3,2020-01-03 10:00,N/M,19.17739,26.962,9.063467,N/M,N/M,7.762836,0.830801,N/M,N/M,1.052332,2.232361,0.312763,2.156569,0.394291
3,2020-01-03 11:00,N/M,10.00964,20.64586,9.224598,N/M,N/M,11.74381,0.956978,N/M,N/M,4.877097,3.553236,0.630693,10.98999,0.779944
3,2020-01-03 12:00,N/M,5.125963,13.18153,10.27853,N/M,N/M,17.29085,0.818951,N/M,N/M,2.781457,3.662152,0.508875,8.817472,0.614111
3,2020-01-03 13:00,N/M,6.257846,15.69866,11.77337,N/M,N/M,15.0133,0.79457,N/M,N/M,3.490375,2.817082,0.723915,10.63814,0.738986
3,2020-01-03 14:00,N/M,3.589004,13.9198,13.5538,N/M,N/M,16.65747,0.587423,N/M,N/M,5.720139,4.116971,0.618013,13.37976,0.786276
3,2020-01-03 15:00,N/M,5.970889,20.67942,14.6945,N/M,N/M,10.53716,0.472552,N/M,N/M,1.160943,2.13368,0.282638,3.775554,0.319471
3,2020-01-03 16:00,N/M,4.500072,22.28017,14.43823,N/M,N/M,8.945541,0.386662,N/M,N/M,0.944998,2.211082,0.259819,7.793554,0.31768
3,2020-01-03 17:00,N/M,3.970381,26.44789,16.90631,N/M,N/M,5.041871,0.273205,N/M,N/M,0.965222,2.011888,0.259249,5.175221,0.306805
3,2020-01-03 18:00,N/M,4.060583,25.68267,17.22733,N/M,N/M,4.648659,0.35339,N/M,N/M,1.242667,2.356444,0.3028889,2.430222,0.406
3,2020-01-03 19:00,N/M,1.124425,17.4745,15.57463,N/M,N/M,11.2834,0.761189,N/M,N/M,3.059901,3.285638,0.600875,15.27244,0.872375
3,2020-01-03 20:00,N/M,1.5914,16.62997,16.57177,N/M,N/M,11.52231,0.412925,N/M,N/M,6.737248,3.792054,0.456611,4.233055,0.642861
3,2020-01-03 21:00,N/M,1.411695,15.57669,13.59027,N/M,N/M,13.07432,0.31977,N/M,N/M,12.43861,3.660332,0.274861,1.536638,0.355221
3,2020-01-03 22:00,N/M,0.772526,12.11453,13.79867,N/M,N/M,14.68727,0.394066,N/M,N/M,9.054471,3.723526,0.335721,1.768805,0.450554
3,2020-01-03 23:00,N/M,0.390253,8.317326,10.86453,N/M,N/M,19.11483,0.233309,N/M,N/M,1.234361,2.589804,0.345804,1.152554,0.378693
3,2020-01-03 00:00,N/M,1.407593,9.84753,7.219099,N/M,N/M,19.70475,0.67976,N/M,N/M,1.569277,1.732236,0.170123,0.690401,0.200096
3,2020-01-04 01:00,N/M,0.624652,10.50951,6.749528,N/M,N/M,19.12294,0.276176,N/M,N/M,0.62054,11.10093,0.174429,0.593472,0.19693
3,2020-01-04 02:00,N/M,0.981458,10.27989,5.013065,N/M,N/M,20.5745,0.21165,N/M,N/M,0.698444,11.99776,0.378472,0.408805,0.171819
3,2020-01-04 03:00,N/M,1.457509,15.35928,3.645498,N/M,N/M,17.32512,0.268546,N/M,N/M,0.67361,1.936236,0.136138,0.421707,0.148637
3,2020-01-04 04:00,N/M,0.306493,10.83826,3.352232,N/M,N/M,20.51806,0.253499,N/M,N/M,0.612194,18.3944,0.143083,0.407943,0.144401
3,2020-01-04 05:00,N/M,0.473841,8.36267,3.3162,N/M,N/M,21.85206,0.234376,N/M,N/M,0.524486,49.72644,0.15054,0.495,0.148221
3,2020-01-04 06:00,N/M,0,7.838733,2.698333,N/M,N/M,21.62389,0.199627,N/M,N/M,0.547652,28.42868,0.155625,0.513013,0.167875
3,2020-01-04 07:00,N/M,0.234503,11.47741,3.383698,N/M,N/M,16.3086,0.146027,N/M,N/M,0.47018,12.6684,0.124458,0.49,0.17268
3,2020-01-04 08:00,N/M,2.294903,18.4283,4.638966,N/M,N/M,8.246114,0.129363,N/M,N/M,0.77986,21.63326,0.307137,1.235666,0.450791
3,2020-01-04 09:00,N/M,3.508546,14.18093,5.664116,N/M,N/M,11.54058,0.118859,N/M,N/M,1.017611,5.453846,0.414875,1.568138,0.516694
3,2020-01-04 10:00,N/M,3.306454,9.949764,7.849233,N/M,N/M,16.32988,0.181703,N/M,N/M,0.612347,1.397776,0.167527,0.607097,0.16593
3,2020-01-04 11:00,N/M,1.150457,4.761866,5.4597,N/M,N/M,21.28475,0.228922,N/M,N/M,0.565568,0.99418,0.124123,0.388972,0.133763
3,2020-01-04 12:00,N/M,0.336459,1.755622,3.569066,N/M,N/M,24.24602,0.193748,N/M,N/M,0.405387,0.563665,0.033041,0.212707,0.021804
3,2020-01-04 13:00,N/M,0.387887,1.707586,3.891732,N/M,N/M,26.62866,0.172464,N/M,N/M,0.382138,0.503736,0.001082,0.149819,0.014999
3,2020-01-04 14:00,N/M,0.399336,2.157972,3.439599,N/M,N/M,29.7804,0.067295,N/M,N/M,0.34804,0.430721,0.014999,0.11518,0
3,2020-01-04 15:00,N/M,0.387248,1.782904,3.6345,N/M,N/M,30.60208,0.061576,N/M,N/M,0.335721,0.377166,0,0.113222,0.0125
3,2020-01-04 16:00,N/M,0.260612,3.369838,5.244699,N/M,N/M,29.15579,0.61036,N/M,N/M,0.316958,0.338402,0,0.109999,0
3,2020-01-04 17:00,N/M,0.239051,2.641261,3.363802,N/M,N/M,29.97348,0.282505,N/M,N/M,0.376596,0.398555,0,0.124277,0.019998
3,2020-01-04 18:00,N/M,0.291132,1.74377,3.568133,N/M,N/M,30.92451,0.171223,N/M,N/M,0.5082222,0.4195556,0.0184444,0.1484444,0.0413333
3,2020-01-04 19:00,N/M,0.370976,3.125689,5.039566,N/M,N/M,29.29439,0.112337,N/M,N/M,0.400541,0.47786,0.042318,0.145722,0.01518
3,2020-01-04 20:00,N/M,0.511318,3.843177,4.886198,N/M,N/M,27.77037,0.06176,N/M,N/M,0.481777,0.655665,0.093915,0.258165,0.086415
3,2020-01-04 21:00,N/M,0.367862,3.664388,4.5904,N/M,N/M,27.03565,0.059638,N/M,N/M,0.366986,0.481471,0.053401,0.17861,0.066082
3,2020-01-04 22:00,N/M,0.637516,2.284193,3.979598,N/M,N/M,29.08128,0.022097,N/M,N/M,0.376776,0.522166,0.073944,0.193222,0.063583
3,2020-01-04 23:00,N/M,0.04218,1.681918,3.6105,N/M,N/M,29.92826,0.002991,N/M,N/M,0.334486,0.413915,0,0.137679,0.029998
3,2020-01-04 00:00,N/M,0.263902,2.469168,3.613432,N/M,N/M,28.4413,0.002691,N/M,N/M,0.341416,0.553915,0.038554,0.197137,0.071235
3,2020-01-05 01:00,N/M,0.152568,5.402112,4.017176,N/M,N/M,25.14885,0,N/M,N/M,0.392111,0.564429,0.052861,0.201597,0.061958
3,2020-01-05 02:00,N/M,0.128061,3.025146,4.966065,N/M,N/M,26.19911,0,N/M,N/M,0.467804,6.364151,0.081776,0.156819,0.11461
3,2020-01-05 03:00,N/M,0.454742,3.226064,3.226032,N/M,N/M,26.17038,0,N/M,N/M,0.419665,0.602235,0.046805,0.14286,0.054666
3,2020-01-05 04:00,N/M,0.054668,2.466582,2.391032,N/M,N/M,27.01248,0.007689,N/M,N/M,0.328222,0.391083,0,0.100901,0
3,2020-01-05 05:00,N/M,0.000025,0.994099,1.867733,N/M,N/M,29.32436,0,N/M,N/M,0.269665,0.263944,0,0.054818,0
3,2020-01-05 06:00,N/M,0.110706,1.310454,1.725932,N/M,N/M,29.22008,0,N/M,N/M,0.269277,0.704429,0.035,0.06518,0
3,2020-01-05 07:00,N/M,0.029777,1.42954,1.469933,N/M,N/M,30.81561,0,N/M,N/M,0.249276,0.24593,0,0.079457,0
3,2020-01-05 08:00,N/M,0.136429,2.83093,1.896198,N/M,N/M,29.06601,0,N/M,N/M,0.28036,0.29804,0,0.080361,0
3,2020-01-05 09:00,N/M,0.18355,1.737635,2.186508,N/M,N/M,31.51256,0,N/M,N/M,0.347472,3.022624,0.090874,0.15193,0.068012
3,2020-01-05 10:00,N/M,0.371136,1.468559,2.430665,N/M,N/M,34.15096,0.008574,N/M,N/M,0.33368,8.783958,0.136235,0.316388,0.064429
3,2020-01-05 11:00,N/M,0.733323,1.433194,2.318965,N/M,N/M,34.07997,0.008627,N/M,N/M,0.384999,4.561347,0.094125,0.367915,0.101625
3,2020-01-05 12:00,N/M,0.891485,1.539381,2.307365,N/M,N/M,33.28542,0.032334,N/M,N/M,0.378915,11.95903,0.049819,0.384736,0.036958
3,2020-01-05 13:00,N/M,0.977681,1.356909,2.413566,N/M,N/M,33.0605,0.012713,N/M,N/M,0.428736,7.641318,0.037138,0.164541,0.032861
3,2020-01-05 14:00,N/M,0.933255,1.964916,2.812833,N/M,N/M,31.42507,0.051784,N/M,N/M,0.357861,2.254735,0.001625,0.091082,0.001262
